days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.21529358215748748	113	21.5%
2	0.17979062357760583	95	18.0%
3	0.14519799726900318	76	14.5%
4	0.12608101957214382	66	12.6%
5	0.1133363677742376	60	11.3%
6	0.08739189804278562	46	8.7%
7	0.06281292671825216	33	6.3%
8	0.040964952207555756	22	4.1%
9	0.020482476103777878	11	2.0%
10	0.005461993627674101	3	0.5%
11	0.0013654984069185253	1	0.1%
12	0.0018206645425580337	1	0.2%
13	0	0	0.0%
14	0	0	0.0%
15	0	0	0.0%
