Date_of_Reporting	Deaths	deaths_cumulative	New_Local_Cases	New_Imported_Cases	New_Undetermined_Cases	New_Total_Cases	Unidentifiable	New_Local_Cases_Source	Notes	Num_Delayed	Date_of_Reporting_REPEAT	New_Local_Cases_Original	New_Local_Cases_20210522	New_Local_Cases_20210523	New_Local_Cases_20210524	New_Local_Cases_20210525	New_Local_Cases_20210526	New_Local_Cases_20210527	New_Local_Cases_20210528	ERR_New_Local_Cases_20210529_ERROR_REPORTED	New_Local_Cases_20210529	New_Local_Cases_20210530	New_Local_Cases_20210531	New_Local_Cases_20210601	New_Local_Cases_20210602	New_Local_Cases_20210603	New_Local_Cases_20210604	New_Local_Cases_20210605	New_Local_Cases_20210606	New_Local_Cases_Revised	Revised_Status	Specimen_from_Reported_COVID-19	Specimen_from_Reported_from_Home_Quarantine	Specimen_from_Enhanced_Surveillance	Total
2020/3/31	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/31	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	371	0	553	924
2020/4/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	400	0	609	1009
2020/4/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	269	0	553	822
2020/4/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	296	0	584	880
2020/4/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	295	0	569	864
2020/4/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	274	0	638	912
2020/4/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	427	0	1387	1814
2020/4/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	335	0	1350	1685
2020/4/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	272	0	1356	1628
2020/4/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	260	0	1316	1576
2020/4/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	250	0	1314	1564
2020/4/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	168	0	923	1091
2020/4/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	99	0	565	664
2020/4/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	225	0	1115	1340
2020/4/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	182	0	1022	1204
2020/4/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	150	0	802	952
2020/4/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	149	0	754	903
2020/4/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	126	0	712	838
2020/4/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	97	0	460	557
2020/4/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	127	0	497	624
2020/4/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	197	0	1638	1835
2020/4/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	159	0	1212	1371
2020/4/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	118	0	1036	1154
2020/4/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	124	0	890	1014
2020/4/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	97	0	730	827
2020/4/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	77	0	542	619
2020/4/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	71	0	424	495
2020/4/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	75	0	665	740
2020/4/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	98	0	596	694
2020/4/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	72	0	412	484
2020/4/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/4/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	53	0	442	495
2020/5/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	49	0	325	374
2020/5/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	46	0	334	380
2020/5/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	51	0	291	342
2020/5/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	83	0	445	528
2020/5/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	73	0	559	632
2020/5/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	68	0	383	451
2020/5/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	58	0	359	417
2020/5/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	50	0	352	402
2020/5/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	40	0	229	269
2020/5/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	44	0	223	267
2020/5/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	58	0	304	362
2020/5/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	42	0	307	349
2020/5/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	51	0	226	277
2020/5/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	40	0	234	274
2020/5/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	41	0	282	323
2020/5/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	26	0	194	220
2020/5/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	22	0	163	185
2020/5/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	46	0	223	269
2020/5/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	27	0	196	223
2020/5/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	38	0	188	226
2020/5/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	31	0	205	236
2020/5/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	25	0	162	187
2020/5/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	32	0	138	170
2020/5/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	21	0	162	183
2020/5/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	28	0	194	222
2020/5/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	32	0	267	299
2020/5/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	27	0	156	183
2020/5/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	33	0	137	170
2020/5/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	32	0	124	156
2020/5/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	17	0	157	174
2020/5/31	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/5/31	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	18	0	219	237
2020/6/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	26	0	160	186
2020/6/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	27	0	151	178
2020/6/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	33	0	155	188
2020/6/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	21	0	149	170
2020/6/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	24	0	160	184
2020/6/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	18	0	120	138
2020/6/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	13	0	95	108
2020/6/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	26	0	103	129
2020/6/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	22	0	130	152
2020/6/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	21	0	131	152
2020/6/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	21	0	114	135
2020/6/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	19	0	123	142
2020/6/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	16	0	102	118
2020/6/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	19	0	92	111
2020/6/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	26	0	119	145
2020/6/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	28	0	119	147
2020/6/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	17	0	129	146
2020/6/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	16	0	119	135
2020/6/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	21	0	138	159
2020/6/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	20	0	94	114
2020/6/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	9	0	95	104
2020/6/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/6/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	26	0	130	156
