days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.23770209838321293	42	23.8%
2	0.1864465084279326	33	18.6%
3	0.1458548331613347	26	14.6%
4	0.1259029927760578	22	12.6%
5	0.10904712762297901	19	10.9%
6	0.07636738906088751	14	7.6%
7	0.053663570691434466	10	5.4%
8	0.033023735810113516	6	3.3%
9	0.017887856897144824	3	1.8%
10	0.004471964224286206	1	0.4%
11	0.0013759889920880633	0	0.1%
12	0.003783969728242174	1	0.4%
13	0.0013759889920880633	0	0.1%
14	6.879944960440316e-4	0	0.1%
15	0.0010319917440660474	0	0.1%
16	3.439972480220158e-4	0	0.0%
17	6.879944960440316e-4	0	0.1%
18	0	0	0.0%
19	0	0	0.0%
20	3.439972480220158e-4	0	0.0%
