days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.21726755218216318	138	21.7%
2	0.17647058823529413	112	17.6%
3	0.14231499051233396	91	14.2%
4	0.12096774193548387	77	12.1%
5	0.11337760910815939	72	11.3%
6	0.09108159392789374	58	9.1%
7	0.06546489563567362	42	6.5%
8	0.04269449715370019	27	4.3%
9	0.021347248576850095	14	2.1%
10	0.0056925996204933585	4	0.6%
11	0.0014231499051233396	1	0.1%
12	0.0018975332068311196	1	0.2%
13	0	0	0.0%
14	0	0	0.0%
15	0	0	0.0%
