days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.23764188941779568	51	23.8%
2	0.17356279751006956	37	17.4%
3	0.14939582570487	32	14.9%
4	0.12889051629439766	28	12.9%
5	0.11021603808128891	24	11.0%
6	0.07909190772610765	17	7.9%
7	0.05382643720248993	12	5.4%
8	0.03478579274990846	8	3.5%
9	0.01904064445258147	4	1.9%
10	0.004760161113145368	1	0.5%
11	0.0010984987184181618	0	0.1%
12	0.003661662394727206	1	0.4%
13	0.0010984987184181618	0	0.1%
14	7.323324789454412e-4	0	0.1%
15	0.0010984987184181618	0	0.1%
16	3.661662394727206e-4	0	0.0%
17	7.323324789454412e-4	0	0.1%
