days_late	days_late_proportions	days_late_PREDICTED_ADDITIONS	days_late_Percent
1	0.23083700440528634	115	23.1%
2	0.17709251101321585	88	17.7%
3	0.14317180616740088	71	14.3%
4	0.12290748898678414	61	12.3%
5	0.10969162995594714	54	11.0%
6	0.08458149779735682	42	8.5%
7	0.06167400881057269	31	6.2%
8	0.04008810572687225	20	4.0%
9	0.019823788546255508	10	2.0%
10	0.0052863436123348016	3	0.5%
11	0.0013215859030837004	1	0.1%
12	0.001762114537444934	1	0.2%
13	4.405286343612335e-4	0	0.0%
14	0	0	0.0%
15	0.0013215859030837004	1	0.1%
